GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMXTrans - output writers,org.jmxtrans.output.writers,GraphiteOutputWriter,6,52,1,1,2,7,1,4,0,4
JMXTrans - output writers,org.jmxtrans.output.writers,ConsoleOutputWriter.Factory,7,0,0,0,2,0,2,0,2,0
JMXTrans - output writers,org.jmxtrans.output.writers,RollingFileOutputWriter,479,91,59,13,67,12,43,4,9,2
JMXTrans - output writers,org.jmxtrans.output.writers,PerMinuteSummarizerOutputWriter,177,252,17,21,28,46,13,11,1,4
JMXTrans - output writers,org.jmxtrans.output.writers,GraphitePlainTextTcpOutputWriter,309,0,22,0,58,0,18,0,7,0
JMXTrans - output writers,org.jmxtrans.output.writers,ConsoleOutputWriter,25,0,0,0,4,0,2,0,2,0
JMXTrans - output writers,org.jmxtrans.output.writers,GraphiteOutputWriter.Factory,45,0,0,0,8,0,2,0,2,0
JMXTrans - output writers,org.jmxtrans.output.writers,FileOverwriterOutputWriter,286,0,16,0,52,0,14,0,6,0
JMXTrans - output writers,org.jmxtrans.output.writers,RollingFileOutputWriter.Factory,52,0,4,0,9,0,4,0,2,0
JMXTrans - output writers,org.jmxtrans.output.writers,FileOverwriterOutputWriter.Factory,37,0,0,0,7,0,3,0,3,0
JMXTrans - output writers,org.jmxtrans.output.writers,SummarizingFileOverwriterOutputWriter.Factory,14,0,0,0,3,0,2,0,2,0
JMXTrans - output writers,org.jmxtrans.output.writers,GraphitePlainTextTcpOutputWriter.Factory,31,0,0,0,5,0,2,0,2,0
JMXTrans - output writers,org.jmxtrans.output.writers,SummarizingConsoleOutputWriter,6,0,0,0,2,0,1,0,1,0
JMXTrans - output writers,org.jmxtrans.output.writers,SummarizingConsoleOutputWriter.Factory,7,0,0,0,2,0,2,0,2,0
JMXTrans - output writers,org.jmxtrans.output.writers,SummarizingFileOverwriterOutputWriter,4,0,0,0,2,0,1,0,1,0
JMXTrans - output writers,org.jmxtrans.output.writers.support,BatchingOutputWriter,24,90,0,6,2,25,0,7,0,4
JMXTrans - output writers,org.jmxtrans.output.writers.support,TcpOutputWriter,90,130,25,7,3,35,15,10,0,9
JMXTrans - output writers,org.jmxtrans.output.writers.utils,ForwardingCollection,53,40,2,4,12,10,13,6,11,5
JMXTrans - output writers,org.jmxtrans.output.writers.utils,ForwardingQueue,14,15,0,0,3,4,3,4,3,4
JMXTrans - output writers,org.jmxtrans.output.writers.utils,EvictingQueue,6,49,1,3,2,13,2,7,1,6
